"Product" "2018-01-03" "2018-01-04" "2018-01-05" "2018-01-06" "2018-01-07" "2018-01-08" "2018-01-09" "2018-01-10" "2018-01-11" "2018-01-12" "2018-01-13" "2018-01-14" "2018-01-15" "2018-01-16"
"1" "BEEF" 117 147 113 210 15 11 146 128 118 90 118 146 6 2
"2" "CHICKEN" 72 78 75 142 5 4 64 78 89 66 94 86 3 1
"3" "GAME" 45 72 54 87 6 3 79 51 66 46 58 74 4 1
"4" "LAMB" 54 84 57 120 5 6 96 75 82 63 87 91 2 0
"5" "PORK" 34 47 49 78 5 0 59 43 49 43 48 53 3 1
"6" "TURKEY" 12 16 14 21 1 0 22 15 24 21 26 23 1 1
"7" "VEAL" 40 46 36 82 8 3 47 58 57 51 62 64 2 0
